# redshift  median_ML  std_ML
5.85000 0.07732 0.01001
5.53000 0.07840 0.01025
5.23000 0.08103 0.00980
5.00000 0.08232 0.00979
4.66000 0.08515 0.00983
4.43000 0.08719 0.00970
4.18000 0.08938 0.01018
4.01000 0.09111 0.01048
3.71000 0.09580 0.01135
3.49000 0.09774 0.01282
3.28000 0.10145 0.01432
3.01000 0.10763 0.01751
2.90000 0.11126 0.01837
2.73000 0.11709 0.02079
2.58000 0.12417 0.02390
2.44000 0.12939 0.02801
2.32000 0.13726 0.03195
2.21000 0.14303 0.03696
2.10000 0.15113 0.04149
2.00000 0.16007 0.04655
1.90000 0.16931 0.05210
1.82000 0.17616 0.05781
1.74000 0.18524 0.06306
1.67000 0.19478 0.06868
1.60000 0.20089 0.07425
1.53000 0.21288 0.07981
1.50000 0.21702 0.08332
1.41000 0.22736 0.09052
1.36000 0.23899 0.09535
1.30000 0.24913 0.10040
1.25000 0.25936 0.10558
1.21000 0.26562 0.11024
1.15000 0.27869 0.11495
1.11000 0.28594 0.11953
1.07000 0.29554 0.12358
1.04000 0.30537 0.12756
1.00000 0.31547 0.13155
0.95000 0.32610 0.13680
0.92000 0.33475 0.13989
0.89000 0.34658 0.14347
0.85000 0.35727 0.14762
0.82000 0.36773 0.15159
0.79000 0.37327 0.15497
0.76000 0.38585 0.15841
0.73000 0.39154 0.16182
0.70000 0.40445 0.16528
0.68000 0.41107 0.16866
0.64000 0.42393 0.17226
0.62000 0.43301 0.17550
0.60000 0.44289 0.17847
0.58000 0.45351 0.18146
0.55000 0.46551 0.18571
0.52000 0.48099 0.18879
0.50000 0.49359 0.19190
0.48000 0.50632 0.19501
0.46000 0.51858 0.19817
0.44000 0.53039 0.20140
0.42000 0.54156 0.20464
0.40000 0.55194 0.20794
0.38000 0.56168 0.21128
0.36000 0.57120 0.21467
0.35000 0.57546 0.21734
0.33000 0.58656 0.22018
0.31000 0.59661 0.22343
0.30000 0.60118 0.22607
0.27000 0.61286 0.23012
0.26000 0.62264 0.23215
0.24000 0.63542 0.23447
0.23000 0.64673 0.23730
0.21000 0.65214 0.23977
0.20000 0.66431 0.24206
0.18000 0.67480 0.24489
0.17000 0.68053 0.24729
0.15000 0.69113 0.24958
0.14000 0.69704 0.25192
0.13000 0.70693 0.25418
0.11000 0.71689 0.25697
0.10000 0.72462 0.25928
0.08000 0.73439 0.26149
0.07000 0.74310 0.26385
0.06000 0.75256 0.26600
0.05000 0.76240 0.26837
0.03000 0.77153 0.27049
0.02000 0.78184 0.27300
0.01000 0.79110 0.27516
0.00000 0.80173 0.27777
