#z: 11.980
#boxsize: 205.000
#ngal: 266304
#model_id: 0
#x y z vx vy vz sfr CO(1-0) CO(2-1) CO(3-2) CO(4-3) CO(5-4) CO(6-5) CO(7-6) CO(8-7) CO(9-8) CO(10-9) CO(11-10) CO(12-11) CO(13-12) [CII]156 [OIII]88 [NII]205 [NII]122
52.938992 80.049367 133.439078 -1658.553314 -8803.195953 22835.826111 0.133287 37.830053 38.613907 38.884566 39.010631 39.020130 38.977676 38.873358 38.921822 38.866245 38.760769 38.781990 38.638137 37.513145 40.635505 40.380323 39.113972 39.613659 
53.008512 79.837711 133.373531 -14812.287903 5741.019821 33968.765259 -0.394823 37.402284 38.186137 38.456796 38.512413 38.526569 38.497576 38.360630 38.404067 38.343364 38.210654 38.253879 38.104692 36.985034 40.112623 39.908796 38.585862 39.085549 
52.914480 79.978695 133.406547 2351.737785 -945.964050 27257.281494 -0.340837 37.446012 38.229866 38.500525 38.563344 38.577024 38.546654 38.413043 38.456994 38.396815 38.266889 38.307865 38.159224 37.039020 40.166075 39.956998 38.639848 39.139535 
52.946039 80.120789 133.372281 -4622.161865 -17716.198730 30009.292603 -0.520995 37.300085 38.083938 38.354597 38.393384 38.408652 38.382874 38.238133 38.280369 38.218441 38.079225 38.127708 37.977246 36.858863 39.987701 39.796142 38.459690 38.959377 
52.971145 79.973281 133.400734 -13656.201172 -1217.253685 28986.666870 -1.493274 36.512539 37.296392 37.567051 37.476139 37.499980 37.498984 37.294173 37.327154 37.255789 37.066434 37.155429 36.995146 35.886584 39.025048 38.928036 37.487411 37.987098 
72.306016 89.417086 65.366445 6525.138855 -355.902553 -7397.188568 0.231655 37.909731 38.693585 38.964244 39.103431 39.112063 39.067102 38.968861 39.018261 38.963639 38.863235 38.880358 38.737499 37.611513 40.732899 40.468152 39.212340 39.712027 
72.096781 89.353945 65.305633 17966.522217 3635.066223 -4235.062408 0.032986 37.748809 38.532662 38.803322 38.916007 38.926391 38.886493 38.775978 38.823487 38.766937 38.656288 38.681688 38.536823 37.412844 40.536196 40.290768 39.013671 39.513358 
72.444727 89.416883 65.334711 -3457.633972 1846.424294 -3991.547394 -1.029477 36.888214 37.672067 37.942727 37.913683 37.933434 37.920617 37.744461 37.781857 37.714993 37.549556 37.619225 37.463628 36.350380 39.484253 39.342140 37.951208 38.450895 
40.964828 191.602422 86.802078 4723.001480 -7749.105072 1982.329750 0.815958 38.383016 39.166870 39.437529 39.654660 39.658141 39.598286 39.536146 39.591107 39.542157 39.471884 39.464661 39.327704 38.195816 41.311417 40.989851 39.796643 40.296330 
40.877187 191.571125 86.824672 19707.153320 9399.837494 -7004.241943 -1.381475 36.603095 37.386949 37.657608 37.581610 37.604464 37.600619 37.402715 37.436761 37.366480 37.182891 37.267227 37.108074 35.998382 39.135740 39.027856 37.599210 38.098897 
102.536336 55.918348 127.591680 -6844.441223 -8963.263702 -2077.926064 0.223366 37.903017 38.686871 38.957530 39.095611 39.104316 39.059566 38.960814 39.010135 38.955432 38.854601 38.872069 38.729126 37.603224 40.724692 40.460751 39.204051 39.703738 
102.476094 56.015605 127.584141 -1454.148769 -22495.089722 -8.870670 -0.145336 37.604368 38.388221 38.658881 38.747778 38.759734 38.724382 38.602850 38.648662 38.590380 38.470536 38.503366 38.356699 37.234521 40.359640 40.131552 38.835349 39.335036 
102.451352 55.917855 127.635977 7031.227112 -6969.075012 -8793.759155 -0.589839 37.244321 38.028174 38.298834 38.328436 38.344311 38.320288 38.171294 38.212875 38.150279 38.007512 38.058863 37.907707 36.790018 39.919538 39.734674 38.390846 38.890533 
102.591867 55.806215 127.598977 -17.621116 1349.786472 566.866302 -1.019095 36.896623 37.680476 37.951136 37.923477 37.943137 37.930055 37.754540 37.792035 37.725272 37.560370 37.629607 37.474114 36.360762 39.494532 39.351410 37.961590 38.461277 
102.581758 55.857805 127.598320 -15588.319397 -10690.464783 -11905.549622 -0.698953 37.155939 37.939792 38.210452 38.225499 38.242336 38.221094 38.065358 38.105901 38.042245 37.893852 37.949750 37.797491 36.680905 39.811505 39.637252 38.281732 38.781419 
113.504914 193.983563 25.073799 -12441.082764 11203.098297 4938.105011 0.266907 37.938285 38.722139 38.992798 39.136687 39.145009 39.099149 39.003086 39.052822 38.998542 38.899956 38.915610 38.773107 37.646765 40.767802 40.499626 39.247592 39.747279 
113.579734 193.890734 24.989783 -19987.886047 17542.477417 13053.663635 -0.353641 37.435641 38.219494 38.490154 38.551264 38.565057 38.535014 38.400612 38.444441 38.384138 38.253551 38.295061 38.146290 37.026216 40.153397 39.945565 38.627044 39.126731 
113.475469 194.002594 25.100045 -8073.161316 6967.717743 -7482.470703 -0.341612 37.445384 38.229238 38.499897 38.562612 38.576299 38.545949 38.412291 38.456234 38.396048 38.266082 38.307090 38.158441 37.038245 40.165307 39.956305 38.639073 39.138760 
113.354828 194.061906 25.210947 -2163.767242 9780.665588 -1117.956161 -2.010754 36.093380 36.877233 37.147893 36.987951 37.016354 37.028548 36.791765 36.819821 36.743432 36.527393 36.637949 36.472439 35.369104 38.512692 38.466001 36.969931 37.469618 
182.931438 118.179383 166.406047 -465.584755 -11713.486481 6170.312500 0.289029 37.956204 38.740058 39.010717 39.157557 39.165684 39.119260 39.024564 39.074510 39.020445 38.923000 38.937732 38.795453 37.668887 40.789705 40.519378 39.269714 39.769401 
