# redshift  median_ML  std_ML
5.85000 0.09397 0.00647
5.53000 0.09341 0.00620
5.23000 0.09447 0.00655
5.00000 0.09597 0.00718
4.66000 0.09866 0.00882
4.43000 0.10114 0.00994
4.18000 0.10512 0.01149
4.01000 0.10788 0.01248
3.71000 0.11693 0.01502
3.49000 0.12223 0.01751
3.28000 0.12997 0.02065
3.01000 0.14481 0.02625
2.90000 0.14683 0.02977
2.73000 0.16059 0.03443
2.58000 0.17322 0.04042
2.44000 0.18553 0.04694
2.32000 0.20107 0.05442
2.21000 0.21546 0.06269
2.10000 0.23356 0.07171
2.00000 0.25405 0.08209
1.90000 0.27532 0.09346
1.82000 0.29150 0.10411
1.74000 0.31107 0.11461
1.67000 0.33300 0.12477
1.60000 0.34935 0.13331
1.53000 0.37708 0.14190
1.50000 0.37830 0.14783
1.41000 0.42529 0.15471
1.36000 0.43996 0.16226
1.30000 0.46376 0.16857
1.25000 0.48800 0.17449
1.21000 0.50257 0.18008
1.15000 0.53151 0.18485
1.11000 0.54625 0.19036
1.07000 0.56569 0.19499
1.04000 0.58474 0.19950
1.00000 0.60350 0.20416
0.95000 0.63071 0.20863
0.92000 0.63541 0.21500
0.89000 0.65887 0.21834
0.85000 0.67890 0.22275
0.82000 0.69771 0.22767
0.79000 0.70773 0.23304
0.76000 0.73101 0.23620
0.73000 0.74128 0.24177
0.70000 0.76508 0.24488
0.68000 0.77576 0.25074
0.64000 0.79975 0.25389
0.62000 0.81059 0.25979
0.60000 0.82612 0.26361
0.58000 0.84151 0.26731
0.55000 0.86578 0.27018
0.52000 0.87693 0.27611
0.50000 0.89293 0.27989
0.48000 0.90882 0.28369
0.46000 0.92479 0.28733
0.44000 0.94129 0.29093
0.42000 0.95783 0.29475
0.40000 0.97546 0.29845
0.38000 0.99289 0.30240
0.36000 1.01058 0.30648
0.35000 1.01860 0.31177
0.33000 1.04112 0.31233
0.31000 1.05922 0.31582
0.30000 1.06742 0.32101
0.27000 1.09942 0.31924
0.26000 1.10345 0.32784
0.24000 1.12642 0.32777
0.23000 1.14437 0.33062
0.21000 1.15285 0.33576
0.20000 1.17567 0.33511
0.18000 1.19385 0.33796
0.17000 1.20280 0.34327
0.15000 1.22531 0.34253
0.14000 1.23383 0.34789
0.13000 1.25630 0.34718
0.11000 1.27456 0.35023
0.10000 1.28370 0.35603
0.08000 1.30628 0.35559
0.07000 1.31536 0.36125
0.06000 1.33767 0.36084
0.05000 1.34710 0.36655
0.03000 1.36956 0.36607
0.02000 1.37932 0.37197
0.01000 1.40220 0.37163
0.00000 1.41214 0.37723
